# #으로 시작하는 줄은 설명입니다. 프로그램이 읽지 않습니다.
# 실제 기출은 맨 앞 #을 빼고 적습니다.
#
# 형식: 날짜  회차  품목
# 같은 회차에 시험일이 여러 날 있습니다. 1회 = 1/12, 1/13, 1/14 ...
# 회 / 차 둘 다 됩니다.
# 품목을 모르면 비워 두거나 미확인
# 아직 안 본 시험일은 예정
# 시험이 없으면 미실시
#
# 실제 입력은 아래처럼 # 없이:
# 2026-09-15 18회 예정
# 18회 9.16 9.17 9.18 9.21
# 2026-09-22 ~ 2026-09-25 18회


종목: 제빵
시험장: 남부
2026-09-02	17회	옥수수식빵
2026-09-03	17회	버터롤
2026-09-04	17회	우유식빵
2026-09-06	17회	호밀빵
2026-09-07	17회	비상식빵
2026-09-08	17회	그리시니
2026-09-14	18회	모카빵
2026-09-15	18회	소보로빵
2026-09-16	18회	스위트롤
2026-09-17	18회	쌀식빵
2026-09-18	18회	
2026-09-19	18회	
2026-09-21	18회	
2026-09-30	19회	
2026-10-01	19회	
2026-10-02	19회	
2026-10-03	19회	
2026-10-06	19회	
2026-10-07	19회	
2026-10-08	19회	
